央视,#genre#
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8$1080P回看
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8$1080P回看
CCTV2,http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8$8M 1080P回看
CCTV2,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8$1080P回看
CCTV2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8$720P回看
CCTV3,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8$1080P回看
CCTV3,http://117.148.179.140/PLTV/88888888/224/3221231528/index.m3u8$480P回看
CCTV4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8$1080P回看
CCTV5,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227166/index.m3u8$1080P 4M回看
CCTV6,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8$1080P回看
CCTV6,http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8m3u8$1080P回看
CCTV6,http://223.110.243.147/ott.js.chinamobile.com/PLTV/3/224/3221227664/index.m3u8$1080P回看
CCTV6,http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8
CCTV6,http://39.134.39.39/PLTV/88888888/224/3221226226/index.m3u8$1080P 8M
CCTV7,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8$1080P回看
CCTV7,http://223.110.243.147/ott.js.chinamobile.com/PLTV/3/224/3221227690/index.m3u8$1080P
CCTV8,http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8$1080P回看 4M
CCTV8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8$1080P回看
CCTV8,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8$1080P 4M回看
CCTV9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8$1080P回看
CCTV9,http://223.110.243.152/ott.js.chinamobile.com/PLTV/3/224/3221227659/index.m3u8$1080P 5.5M回看
CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8$1080P
CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8$1080P
CCTV10,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8$1080P回看
CCTV10,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227620/index.m3u8$1080P 8M
CCTV10,http://39.134.39.39/PLTV/88888888/224/3221226164/index.m3u8$1080P 4M
CCTV11,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8$1080P回看
CCTV11,http://223.110.243.157/ott.js.chinamobile.com/PLTV/3/224/3221227524/index.m3u8$1080P 2.5M回看
CCTV12,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227637/index.m3u8$1080P 8M回看
CCTV12,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8$1080P回看
CCTV12,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227655/index.m3u8$1080P 5.5M
CCTV13,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8?key=M6eMUiJNBrGHQ89NOUhxJ2UjV5q+IeBJ9O1WU+LiX8xSfYAD53sygkqbRKVbV6y9BfMAoO9HelTWGuBdc8Oqen7+4lXQbiLi1sOLMWuaBrWqeDCq98x2UE1rUyBNvPfGDbX+Wrvs92e52MKhYurWhThp9DY/rpzNCXr5Y+U1R7s=
CCTV14,http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8$1080P回看
